prompt,hypothesis,prompt_aligned,prompt_aligned_rev,hypothesis_rev,reference,prompts_plus_orth,prompts_plus_hypo,id,conf_mat_val
achterdeur,achterdeur,achterdeur,achterdeur,achterdeur,CORRECTLY_READ,0,0,S01C018V2_3+4LG,TN
ziekenhuis,zie ik in huis,zie**k*en*huis,zie**k*en*huis,zie ik in huis,CORRECTLY_READ,0,1,S01C018V2_3+4LG,FP
nieuwsgierig,neeuwsc*herig,nieuwsgi*erig,nieuws*gierig,neeuwsch*erig,35,1,1,S01C018V2_3+4LG,TP
afblijven,afblijven,afblijven,a**********f*blijven,afblijven of blijven,CORRECTLY_READ,0,0,S01C018V2_3+4LG,TN
kabouter,of blijven kabouter,***********kabouter,kabouter,kabouter,CORRECTLY_READ,0,0,S01C018V2_3+4LG,TN
washandje,washandje,washandje,washandje,washandje,CORRECTLY_READ,0,0,S01C018V2_3+4LG,TN
sneeuwwitje,*nee** beetje,sneeuw*wi*tje,snee**uwwitje,*nee be**etje,CORRECTLY_READ,0,1,S01C018V2_3+4LG,FP
goeiendag,goeiendag,goeiendag,goeiendag,goeiendag,CORRECTLY_READ,0,0,S01C018V2_3+4LG,TN
vakantie,vakantie,vakantie,vakantie,vakantie,CORRECTLY_READ,0,0,S01C018V2_3+4LG,TN
limonade,limonade,limonade,limonade,limonade,CORRECTLY_READ,0,0,S01C018V2_3+4LG,TN
autorijden,autor**den,autorijden,autorijden,autor**den,CORRECTLY_READ,0,1,S01C018V2_3+4LG,FP
eindelijk,eindelijk,eindelijk,eindelijk,eindelijk,CORRECTLY_READ,0,0,S01C018V2_3+4LG,TN
familie,*amilie,familie,familie,*amilie,CORRECTLY_READ,0,1,S01C018V2_3+4LG,FP
chocolade,chocolade,chocolade,chocolade,chocolade,CORRECTLY_READ,0,0,S01C018V2_3+4LG,TN
klas,klas,klas,klas,klas,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
mooi,m*oi,mooi,mooi,mo*i,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
koe,ko*,koe,koe,ko*,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
arm,arm,arm,arm,arm,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
groei,*mooi,groei,groei,m*ooi,21,1,1,S01C022V2_1LG,TP
strand,strand,strand,strand,strand,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
bed,det,bed,bed,det,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
eerst,eerst,eerst,eerst,eerst,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
voor,voor,voor,voor,voor,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
draai,draai,draai,draai***,draai sa,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
sjaal,s*a sjal,sja***al,sjaal,sja*l,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
herfst,herfst,herfst,herfst,herfst,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
duur,duur,duur,duur,duur,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
straat,straat,straat,straat,straat,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
leeuw,leeuw,leeuw,leeuw,leeuw,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
clown,kla*un,clow*n,cl*own,klau*n,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
hoek,hoek,hoek,hoek,hoek,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
krant,*rand,krant,krant,*rand,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
hout,hout,hout,hout,hout,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
vriend,vriend,vriend,vriend,vriend,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
gauw,gouw,gauw,gauw,gouw,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
chips,chips,chips,chips,chips,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
groen,groen,groen,groen,groen,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
feest,f*est,feest,feest,fe*st,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
reis,ge*s,reis,reis,ge*s,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
jas,jas,jas,jas,jas,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
huis,h*es,huis,huis,he*s,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
paard,p*art,paard,paard,pa*rt,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
vijf,vi*s,vijf,vijf,vis*,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
muts,nut*,muts,muts,nut*,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
nieuw,n*e**,nieuw,nieuw,n*e**,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
kind,ginut,kin*d,kin*d,ginut,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
bang,bang,bang,bang,bang,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
oog,oog,oog,oog,oog,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
zacht,zacht,zacht,zacht,zacht,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
schoen,schoen,schoen,schoen,schoen,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
plas,plas,plas,plas,plas,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
neus,nees,neus,neus,nees,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
knoop,*n*op,knoop,knoop,*no*p,CORRECTLY_READ,0,1,S01C022V2_1LG,FP
plank,plank,plank,plank,plank,CORRECTLY_READ,0,0,S01C022V2_1LG,TN
water,letter,wat*er,wa*ter,letter,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
mevrouw,**vrouw,mevrouw,mevrouw,**vrouw,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
drogen,drogen,drogen,drogen,drogen,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
winkel,winkel,winkel,winkel,winkel,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
auto,auto,auto,auto,auto,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
schouder,*schouders,schouder*,schouder*,*schouders,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
verhaal,verhaal,verhaal,verhaal,verhaal,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
koning,koning,koning,koning,koning,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
moeilijk,moeilijk,moeilijk,moeilijk,moeilijk,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
speelplaats,sh*e*pl*at*,speelplaats,speelplaats,she**pla*t*,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
drinken,dringen,drinken,drinken,dringen,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
hoofdpijn,hoofdpijn,hoofdpijn,hoofdpijn,hoofdpijn,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
regen,rige*,regen,regen,rige*,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
vliegtuig,vlieg**af,vliegtuig,vliegtuig,vlieg*a*f,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
stoppen,stoppen,stoppen,stoppen,stoppen,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
opnieuw,opnieuw,opnieuw,opnieuw,opnieuw,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
gooien,gooien,gooien,gooien,gooien,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
schreeuwen,sneeuwen sneeuwen,sc***h*r***eeuwen,s******c*hreeuwen,sneeuwen sneeuwen,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
moeder,moede*,moeder,moeder,moede*,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
liedje,liekje,liedje,liedje,liekje,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
potlood,potloot,potlood,potlood,potloot,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
fietsbel,vie*rbel,fietsbel,fietsbel,vier*bel,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
vinger,vinger,vinger,vinger,vinger,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
dichtbij,dichterbij,dicht**bij,dicht**bij,dichterbij,e/38,1,1,S01C022V2_2LG,TP
meisje,meisje,meisje,meisje,meisje,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
chauffeur,*ka**four,chauffeur,chauffeur,k*a*f*our,g/j,1,1,S01C022V2_2LG,TP
muziek,muziek,muziek,muziek,muziek,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
waarom,waarom,waarom,waarom,waarom,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
scheuren,sche*ren,scheuren,scheuren,sche*ren,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
lawaai,lar*ei,lawaai,lawaai,lare*i,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
zwemmen,zwemmen,zwemmen,zwemmen,zwemmen,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
vuurwerk,vuurwerk,vuurwerk,vuurwerk,vuurwerk,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
appel,appel,appel,appel,appel,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
cola,cola,cola,cola,cola,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
kussen,kussen,kussen,kussen,kussen,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
eerste,eerste,eerste,eerste,eerste,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
circus,circus,circus,circus,circus,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
kleuren,kleuren,kleuren,kleuren,kleuren,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
voetbal,voetebal,voet*bal,voet*bal,voetebal,CORRECTLY_READ,0,1,S01C022V2_2LG,FP
vlinder,vlinder,vlinder,vlinder,vlinder,CORRECTLY_READ,0,0,S01C022V2_2LG,TN
omdraaien,omdraaien,omdraaien,omdraaien,omdraaien,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
poppenwagen,popponweggen,poppenwag*en,poppenwa*gen,popponweggen,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
konijnenhok,komne*nen hoek,ko*nijnen*ho*k,ko*nijnen*ho*k****,komne*nen hoek exa,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
elastiekje,exa elastiek ja,e****lastiek*je,elastiek*je,elastiek ja,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
ruziemaken,ruzie maken,ruzie*maken,ruzie*maken,ruzie maken,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
teddybeer,terdibeer,teddybeer,teddybeer,terdibeer,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
dierentuin,dierentu*n,dierentuin,dierentuin,dierentu*n,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
paddenstoelen,paddenstoelen,paddenstoelen,paddenstoelen,paddenstoelen,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
verstoppetje,verstoppertja,verstoppe*tje,verstoppe*tje,verstoppertja,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
wasmachine,was machina,was*machine,was*machine,was machina,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
fototoestel,voortotoestel,fo**totoestel,f*o*totoestel,voortotoestel,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
toiletpapier,t**w*c tw cpapier,toile**t***papier,t*oil*et***papier,tw**c *tw cpapier,j/g,1,1,S01C022V2_3+4LG,TP
vrachtwagen,vrachtwagen,vrachtwagen,vrachtwagen,vrachtwagen,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
buurmannen,beerma***n,buurmannen,buurmannen,beerman***,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
vogelkooi,vogelkooi,vogelkooi,vogelkooi,vogelkooi,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
olifant,olifand,olifant,olifant,olifand,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
schommelen,scho*melen,schommelen,schommelen,schom*elen,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
iedereen,i*derijen,iedere*en,iedere*en,i*derijen,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
schoenenwinkel,scho**enwinkel,schoenenwinkel,schoenenwinkel,schoen**winkel,e/25,1,1,S01C022V2_3+4LG,TP
knutselen,knutselen,knutselen,knutselen,knutselen,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
ophangen,ophangen,ophangen,ophangen,ophangen,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
verjaardag,verjaardag,verjaardag,verjaardag,verjaardag,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
sprookjesboek,sprookjesboek,sprookjesboek,sprookjesboek,sprookjesboek,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
tandenborstel,tanden borstel,tanden*borstel,tanden*borst*****e**l**,tanden borstel luef lez,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
lucifer,luef lez lustifar,lu*c*********ifer,lu*cifer,lustifar,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
slaapkamer,slaapkamer,slaapkamer,slaapkamer,slaapkamer,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
achterdeur,acht dardoor,acht**erdeur,acht**erdeur,acht dardoor,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
ziekenhuis,ziekenhuis,ziekenhuis,ziekenhuis,ziekenhuis,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
nieuwsgierig,nieuwsgierig,nieuwsgierig,nieuwsgierig,nieuwsgierig,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
afblijven,of blijven,af*blijven,af*blijven,of blijven,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
kabouter,kabouter,kabouter,kabouter,kabouter,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
washandje,was randje,was*handje,was*handje,was randje,g/35,1,1,S01C022V2_3+4LG,TP
sneeuwwitje,sneeuwwiekje,sneeuwwi*tje,sneeuwwi*tje,sneeuwwiekje,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
goeiendag,goeiendag,goeiendag,goeiendag,goeiendag,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
vakantie,vakantie,vakantie,vakantie,vakantie,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
limonade,lemonala,limonade,limonade,lemonala,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
autorijden,autorijden,autorijden,autorijden,autorijden,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
eindelijk,e*ndelijk,eindelijk,eindelijk,e*ndelijk,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
familie,familie,familie,familie,familie,CORRECTLY_READ,0,0,S01C022V2_3+4LG,TN
chocolade,chocolat*,chocolade,chocolade,chocolat*,CORRECTLY_READ,0,1,S01C022V2_3+4LG,FP
klas,klas,klas,klas,klas,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
mooi,mooi,mooi,mooi,mooi,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
koe,koel,koe*,koe*,koel,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
arm,arm,arm,arm,arm,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
groei,groei,groei,groei,groei,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
strand,strand,strand,strand,strand,35,1,0,S01C023M2_1LG,FN
bed,bet,bed,bed,bet,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
eerst,eerst,eerst,eerst,eerst,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
voor,voor,voor,voor,voor,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
draai,dr*ai,draai,draai,dra*i,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
sjaal,ssaal,sjaal,sjaal,ssaal,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
herfst,herf*t,herfst,herfst,herftt,g/1,1,1,S01C023M2_1LG,TP
duur,*tuur,duur,duur,**uur,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
straat,straat,straat,straat,straat,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
leeuw,leeuw,leeuw,leeuw,leeuw,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
clown,klo*on,clow*n,cl*own,kloo*n,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
hoek,hoek,hoek,hoek,hoek,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
krant,khamt,krant,krant,khamt,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
hout,hout,hout,hout,hout,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
vriend,vri*md,vriend,vriend,vri*md,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
gauw,gauw,gauw,gauw,gauw,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
chips,chips,chips,chips,chips,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
groen,groen,groen,groen,groen,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
feest,feest,feest,feest,feest,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
reis,*e*st,reis*,reis*,*e*st,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
jas,jas,jas,jas,jas,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
huis,huis,huis,huis,huis,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
paard,paard,paard,paard,paard,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
vijf,vijf,vijf,vijf,vijf,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
muts,mut*,muts,muts,mut*,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
nieuw,nieuw,nieuw,nieuw,nieuw,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
kind,kind,kind,kind,kind,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
bang,bang,bang,bang,bang,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
oog,oor,oog,oog,oor,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
zacht,zacht,zacht,zacht,zacht,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
schoen,schoen,schoen,schoen,schoen,CORRECTLY_READ,0,0,S01C023M2_1LG,TN
plas,blas,plas,plas,blas,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
neus,k*luis,ne*u*s,*neus,kluis,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
knoop,kloop,knoop,knoop,kloop,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
plank,pla**,plank,plank,pla**,CORRECTLY_READ,0,1,S01C023M2_1LG,FP
water,watter,wat*er,wa*ter,watter,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
mevrouw,mevrouw,mevrouw,mevrouw,mevrouw,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
drogen,droge*,drogen,drogen,droge*,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
winkel,winkel,winkel,winkel,winkel,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
auto,auto,auto,auto,auto,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
schouder,schouders,schouder*,schouder*,schouders,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
verhaal,verhaal,verhaal,verhaal,verhaal,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
koning,koning,koning,koning,koning,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
moeilijk,moeilijk,moeilijk,moeilijk,moeilijk,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
speelplaats,speelplaats,speelplaats,speelplaats,speelplaats,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
drinken,drinken,drinken,drinken,drinken,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
hoofdpijn,hoofdpijn,hoofdpijn,hoofdpijn,hoofdpijn,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
regen,riegen,r*egen,r*egen,riegen,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
vliegtuig,vliesbu*rg,vliegtui*g,vliegtu*ig,vliesbur*g,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
stoppen,stoppen,stoppen,stoppen,stoppen,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
opnieuw,opnieuw,opnieuw,opnieuw,opnieuw,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
gooien,g*oeden,gooi*en,goo*ien,goed*en,g/4,1,1,S01C023M2_2LG,TP
schreeuwen,sneeuw sneeuwen,sc***h*r*eeuwen,s****c*hreeuwen,sneeuw sneeuwen,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
moeder,moeder,moeder,moeder,moeder,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
liedje,li*kje,liedje,liedje,li*kje,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
potlood,potlood,potlood,potlood,potlood,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
fietsbel,vie*sdel,fietsbel,fietsbel,vie*sdel,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
vinger,*vinger,vinger,vinger,*vinger,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
dichtbij,dis sv bet,dic*ht*bij,dic*ht*bij,dis sv bet,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
meisje,me*stie,meisj*e,meisj*e,me*stie,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
chauffeur,chauffe*r,chauffeur,chauffeur,chauffe*r,g/6,1,1,S01C023M2_2LG,TP
muziek,muziek,muziek,muziek,muziek,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
waarom,waarom,waarom,waarom,waarom,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
scheuren,sch*uren,scheuren,scheuren,sch*uren,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
lawaai,lawaai,lawaai,lawaai,lawaai,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
zwemmen,zwemmen,zwemmen,zwemmen,zwemmen,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
vuurwerk,vuurwerk,vuurwerk,vuurwerk,vuurwerk,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
appel,appel,appel,appel,appel,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
cola,kola,cola,cola,kola,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
kussen,ku*sen,kussen,kussen,kus*en,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
eerste,heerste,*eerste,*eerste,heerste,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
circus,circus,circus,circus,circus,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
kleuren,*kleuren,kleuren,kleuren,*kleuren,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
voetbal,voetbal,voetbal,voetbal,voetbal,CORRECTLY_READ,0,0,S01C023M2_2LG,TN
vlinder,vli**e*a,vlinder*,vlinde*r,vli**ea*,CORRECTLY_READ,0,1,S01C023M2_2LG,FP
omdraaien,omdraaien,omdraaien,omdraaien,omdraaien,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
poppenwagen,poppenwagen,poppenwagen,poppenwagen,poppenwagen,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
konijnenhok,konijnenhoek,konijnenho*k,konijnen*****hok,konijnenhoek hok,29,1,1,S01C023M2_3+4LG,TP
elastiekje,hok ellaf di*tje,****el*as*tiekje,e*las*tiekje,ellaf di*tje,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
ruziemaken,luzie maken,ruzie*maken,ruzie*maken,luzie maken,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
teddybeer,daddi beer,teddy*beer,teddy*beer,daddi beer,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
dierentuin,dierentuin,dierentuin,dierentuin,dierentuin,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
paddenstoelen,badden stoelen,padden*stoelen,padden*stoelen,badden stoelen,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
verstoppetje,van stopperdje,ver*stoppet*je,ver*stoppe*tje,van stopperdje,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
wasmachine,wasmachine,wasmachine,wasmachine,wasmachine,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
fototoestel,fotostoestel,foto*toestel,foto*toestel,fotostoestel,35,1,1,S01C023M2_3+4LG,TP
toiletpapier,toeales papier,toi*let*papier,to*ilet*papier,toeales papier,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
vrachtwagen,*rachtwagen,vrachtwagen,vrachtwagen,*rachtwagen,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
buurmannen,buurmannen,buurmannen,buurmannen,buurmannen,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
vogelkooi,vohelkooi,vogelkooi,vogelkooi,vohelkooi,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
olifant,olifand,olifant,olifant,olifand,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
schommelen,schoenscha gommel**,scho*********mmelen,******sch***ommelen,schoenscha gommel**,e/25,1,1,S01C023M2_3+4LG,TP
iedereen,iedereen,iedereen,iedereen,iedereen,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
schoenenwinkel,scho**enwinkel,schoenenwinkel,schoenenwinkel,schoen**winkel,e/25,1,1,S01C023M2_3+4LG,TP
knutselen,knutwelen,knutselen,knutselen******,knutwelen op uh,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
ophangen,op uh ophangen,op**h****angen,ophangen,ophangen,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
verjaardag,verjaardag,verjaardag,verjaardag,verjaardag,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
sprookjesboek,sprookjes boek,sprookjes*boek,sprookjes*boek,sprookjes boek,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
tandenborstel,tan den borstel,tan*den*borstel,tan*den*borstel,tan den borstel,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
lucifer,lucifer,lucifer,lucifer,lucifer,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
slaapkamer,slaapkamer,slaapkamer,slaapkamer,slaapkamer,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
achterdeur,achterdeur,achterdeur,achterdeur**,achterdeur t,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
ziekenhuis,t ziekenhuis,**ziekenhuis,ziekenhuis,ziekenhuis,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
nieuwsgierig,nieuwsgierig,nieuwsgierig,nieuwsgierig,nieuwsgierig,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
afblijven,afblijven,afblijven,afblijven,afblijven,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
kabouter,kabouter,kabouter,kabouter****,kabouter waa,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
washandje,waa wat hank je,wa**s***hand*je,was*hand*je,wat hank je,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
sneeuwwitje,snee*wt snej wiet jer,sneeuw*******wi*t*je*,snee*****uw*wi*t*je*,sneewt snej wiet jer,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
goeiendag,goeiendag,goeiendag,goeiendag,goeiendag,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
vakantie,vakantie,vakantie,vakantie,vakantie,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
limonade,limonade,limonade,limonade,limonade,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
autorijden,autoredden,autorijden,autorijden,autoredden,CORRECTLY_READ,0,1,S01C023M2_3+4LG,FP
eindelijk,ereindelijk,e**indelijk,**eindelijk,ereindelijk,CORRECTLY_READ,0,0,S01C023M2_3+4LG,TN
